prep_use_pca,prep_pca_components,prep_normalization,svm_kernel,svm_C,cv_mean,cv_std,test_score,training_time,svm_gamma,svm_degree,svm_coef0
False,,standard,poly,0.01,0.11866666666666666,0.0024944382578492917,0.1275,16.5393168926239,auto,5.0,0.0
False,,standard,poly,0.01,0.12333333333333334,0.0024944382578492965,0.105,16.53236413002014,auto,5.0,0.1
False,,standard,poly,0.01,0.25533333333333336,0.014817407180595259,0.2525,15.704879522323608,auto,5.0,1.0
False,,standard,poly,0.01,0.36533333333333334,0.02379542439676633,0.3475,15.198509454727173,auto,5.0,2.0
False,,standard,poly,0.01,0.1366666666666667,0.00899382504215469,0.1425,17.603126525878906,auto,5.0,0.5
False,,standard,poly,0.01,0.138,0.00748331477354788,0.145,16.923810482025146,0.001,2.0,0.0
False,,standard,poly,0.01,0.1506666666666667,0.011585431464655179,0.2175,16.629764318466187,0.001,2.0,0.1
False,,standard,poly,0.01,0.20466666666666666,0.0018856180831641153,0.24,17.648154973983765,0.001,2.0,0.5
False,,standard,poly,0.01,0.2373333333333333,0.00956846672960488,0.255,17.743814945220947,0.001,2.0,1.0
False,,standard,poly,0.01,0.302,0.019252705437591527,0.3,16.741378784179688,0.001,2.0,2.0
False,,standard,poly,0.01,0.20466666666666666,0.02407396011369038,0.2175,17.415127515792847,0.001,3.0,0.0
False,,standard,poly,0.01,0.21533333333333335,0.012256517540566822,0.2425,16.564875841140747,0.001,3.0,0.1
False,,standard,poly,0.01,0.28600000000000003,0.018832595855767374,0.3125,16.34894108772278,0.001,3.0,0.5
False,,standard,poly,0.01,0.30666666666666664,0.0024944382578492965,0.32,14.683386087417603,0.001,3.0,1.0
False,,standard,poly,0.01,0.35200000000000004,0.037094473981982824,0.42,14.38080096244812,0.001,3.0,2.0
False,,standard,poly,0.01,0.16266666666666665,0.010873004286866727,0.1925,17.24623203277588,0.001,4.0,0.0
False,,standard,poly,0.01,0.25666666666666665,0.021312489817527692,0.2775,16.305290699005127,0.001,4.0,0.5
False,,standard,poly,0.01,0.21533333333333335,0.008993825042154702,0.2075,17.31929659843445,0.001,4.0,0.1
False,,standard,poly,0.01,0.306,0.03179098404684364,0.3575,16.600648880004883,0.001,4.0,1.0
False,,standard,poly,0.01,0.33066666666666666,0.01062491830033947,0.3575,16.32175302505493,0.001,4.0,2.0
False,,standard,poly,0.01,0.19133333333333333,0.009285592184789408,0.22,16.61354398727417,0.001,5.0,0.0
False,,standard,poly,0.01,0.19733333333333336,0.008993825042154688,0.17,16.78576922416687,0.001,5.0,0.1
False,,standard,poly,0.01,0.21733333333333335,0.013888444437333107,0.2175,16.263123989105225,0.001,5.0,0.5
False,,standard,poly,0.01,0.2833333333333334,0.021929178937864696,0.32,15.79577898979187,0.001,5.0,1.0
False,,standard,poly,0.01,0.334,0.009092121131323891,0.3625,17.00275683403015,0.001,5.0,2.0
False,,standard,poly,0.01,0.2773333333333334,0.01463633226673342,0.3075,16.89450716972351,0.01,2.0,0.0
False,,standard,poly,0.01,0.272,0.008640987597877129,0.3675,17.872741222381592,0.01,2.0,0.1
False,,standard,poly,0.01,0.36466666666666664,0.02288133640230735,0.3375,17.00623917579651,0.01,2.0,1.0
False,,standard,poly,0.01,0.3153333333333333,0.012256517540566834,0.3475,18.27885675430298,0.01,2.0,0.5
False,,standard,poly,0.01,0.33066666666666666,0.013888444437333095,0.335,16.694067001342773,0.01,2.0,2.0
False,,standard,poly,0.01,0.2813333333333334,0.01913693345920976,0.275,17.25394368171692,0.01,3.0,0.0
False,,standard,poly,0.01,0.278,0.005887840577551878,0.28,16.954591751098633,0.01,3.0,0.1
False,,standard,poly,0.01,0.2853333333333333,0.004988876515698573,0.31,17.323714017868042,0.01,3.0,0.5
False,,standard,poly,0.01,0.27266666666666667,0.007363574011458157,0.3025,16.675512313842773,0.01,3.0,1.0
False,,standard,poly,0.01,0.2833333333333334,0.005734883511361733,0.335,17.415632009506226,0.01,3.0,2.0
False,,standard,poly,0.01,0.20933333333333337,0.013299958228840001,0.2175,17.71346139907837,0.01,4.0,0.0
False,,standard,poly,0.01,0.22666666666666668,0.005249338582674546,0.225,17.00470757484436,0.01,4.0,0.1
False,,standard,poly,0.01,0.208,0.021416504538945353,0.215,16.53561496734619,0.01,4.0,0.5
False,,standard,poly,0.01,0.2273333333333333,0.0142672897060218,0.305,16.765426874160767,0.01,4.0,1.0
False,,standard,poly,0.01,0.25266666666666665,0.008993825042154702,0.2825,16.03465700149536,0.01,4.0,2.0
False,,standard,poly,0.01,0.17800000000000002,0.012754084313139326,0.18,16.066072702407837,0.01,5.0,0.0
False,,standard,poly,0.01,0.214,0.00489897948556636,0.215,16.08494734764099,0.01,5.0,0.1
False,,standard,poly,0.01,0.22066666666666665,0.014817407180595248,0.2175,16.587434768676758,0.01,5.0,0.5
False,,standard,poly,0.01,0.22066666666666665,0.03159465496286076,0.275,17.359933376312256,0.01,5.0,1.0
False,,standard,poly,0.01,0.25266666666666665,0.008993825042154702,0.2525,17.085176706314087,0.01,5.0,2.0
False,,standard,poly,0.01,0.26533333333333337,0.006798692684790386,0.2775,16.464247465133667,0.1,2.0,0.0
False,,standard,poly,0.01,0.256,0.016970562748477157,0.315,16.220381259918213,0.1,2.0,0.1
False,,standard,poly,0.01,0.2713333333333333,0.025104227178350303,0.2975,16.532212257385254,0.1,2.0,0.5
False,,standard,poly,0.01,0.29600000000000004,0.02122891110412087,0.36,16.071550607681274,0.1,2.0,1.0
False,,standard,poly,0.01,0.3373333333333333,0.010498677165349066,0.2975,15.769825458526611,0.1,2.0,2.0
False,,standard,poly,0.01,0.26466666666666666,0.018856180831641284,0.26,15.300584316253662,0.1,3.0,0.0
False,,standard,poly,0.01,0.25533333333333336,0.01236482466066095,0.2525,16.89342427253723,0.1,3.0,0.1
False,,standard,poly,0.01,0.278,0.029439202887759492,0.25,16.692716360092163,0.1,3.0,0.5
False,,standard,poly,0.01,0.26,0.029933259094191523,0.255,16.366798400878906,0.1,3.0,1.0
False,,standard,poly,0.01,0.26866666666666666,0.02379542439676633,0.3025,16.23662233352661,0.1,3.0,2.0
False,,standard,poly,0.01,0.19799999999999998,0.01336662510384228,0.21,16.89250111579895,0.1,4.0,0.0
False,,standard,poly,0.01,0.17800000000000002,0.012754084313139326,0.21,16.69806480407715,0.1,4.0,0.1
False,,standard,poly,0.01,0.19933333333333336,0.022171052197754528,0.19,16.810179233551025,0.1,4.0,0.5
False,,standard,poly,0.01,0.22,0.012328828005937964,0.2325,16.102461099624634,0.1,4.0,1.0
False,,standard,poly,0.01,0.20066666666666666,0.011115554667022041,0.22,15.992111206054688,0.1,4.0,2.0
False,,standard,poly,0.01,0.19266666666666668,0.012472191289246473,0.21,16.915523767471313,0.1,5.0,0.0
False,,standard,poly,0.01,0.19333333333333336,0.0024944382578492965,0.2175,15.43042516708374,0.1,5.0,0.1
False,,standard,poly,0.01,0.204,0.0032659863237108956,0.2325,16.4934184551239,0.1,5.0,0.5
False,,standard,poly,0.01,0.19400000000000003,0.01336662510384228,0.1925,16.759900093078613,0.1,5.0,1.0
False,,standard,poly,0.01,0.19333333333333336,0.012684198393626967,0.21,16.751651525497437,0.1,5.0,2.0
False,,standard,poly,0.01,0.2373333333333333,0.005249338582674533,0.2675,17.385953187942505,1,2.0,0.0
False,,standard,poly,0.01,0.2846666666666667,0.020997354330698156,0.335,16.01320743560791,1,2.0,0.1
False,,standard,poly,0.01,0.3,0.011430952132988174,0.28,17.14392328262329,1,2.0,0.5
False,,standard,poly,0.01,0.25733333333333336,0.012256517540566834,0.32,17.405972957611084,1,2.0,1.0
False,,standard,poly,0.01,0.264,0.022861904265976323,0.285,16.128305196762085,1,3.0,0.0
False,,standard,poly,0.01,0.3066666666666667,0.024513035081133644,0.3225,17.477298498153687,1,2.0,2.0
False,,standard,poly,0.01,0.26933333333333337,0.0138884444373331,0.285,17.875319957733154,1,3.0,0.1
False,,standard,poly,0.01,0.25466666666666665,0.0041096093353126546,0.2625,16.49222755432129,1,3.0,0.5
False,,standard,poly,0.01,0.27266666666666667,0.009285592184789403,0.2775,16.4237642288208,1,3.0,1.0
False,,standard,poly,0.01,0.25866666666666666,0.00659966329107445,0.2675,16.092974424362183,1,3.0,2.0
False,,standard,poly,0.01,0.21,0.020848661028149182,0.205,17.425585508346558,1,4.0,0.0
False,,standard,poly,0.01,0.19066666666666668,0.026549743668986506,0.215,17.618298053741455,1,4.0,0.1
False,,standard,poly,0.01,0.18266666666666667,0.0142672897060218,0.22,18.044032335281372,1,4.0,0.5
False,,standard,poly,0.01,0.19466666666666665,0.017307673314329565,0.2,17.93309736251831,1,4.0,1.0
False,,standard,poly,0.01,0.19066666666666665,0.016519348924485158,0.1975,17.24363088607788,1,4.0,2.0
False,,standard,poly,0.01,0.21133333333333335,0.009428090415820628,0.21,16.98667001724243,1,5.0,0.0
False,,standard,poly,0.01,0.20066666666666666,0.010498677165349078,0.2125,15.651596307754517,1,5.0,0.1
False,,standard,poly,0.01,0.19600000000000004,0.02405549140355829,0.255,17.276983499526978,1,5.0,0.5
False,,standard,poly,0.01,0.18999999999999997,0.02372059583287626,0.2125,17.200128078460693,1,5.0,1.0
False,,standard,poly,0.01,0.20200000000000004,0.007118052168020868,0.245,16.87328600883484,1,5.0,2.0
False,,standard,poly,0.01,0.2806666666666667,0.015520595635763744,0.34,16.853623151779175,10,2.0,0.0
False,,standard,poly,0.01,0.26266666666666666,0.007363574011458181,0.275,17.69172763824463,10,2.0,0.1
False,,standard,poly,0.01,0.272,0.009092121131323887,0.3025,16.79200768470764,10,2.0,0.5
False,,standard,poly,0.01,0.262,0.013063945294843629,0.2325,17.646744966506958,10,2.0,1.0
False,,standard,poly,0.01,0.26466666666666666,0.008993825042154702,0.2975,16.573031425476074,10,2.0,2.0
False,,standard,poly,0.01,0.27266666666666667,0.009568466729604864,0.2975,16.370094776153564,10,3.0,0.0
False,,standard,poly,0.01,0.28400000000000003,0.007118052168020855,0.305,16.48689103126526,10,3.0,0.1
False,,standard,poly,0.01,0.25666666666666665,0.013597385369580772,0.25,17.78494095802307,10,3.0,0.5
False,,standard,poly,0.01,0.266,0.014236104336041736,0.2625,17.03808832168579,10,3.0,1.0
False,,standard,poly,0.01,0.25,0.008164965809277268,0.255,16.959899425506592,10,3.0,2.0
False,,standard,poly,0.01,0.20000000000000004,0.0139522996909709,0.2275,17.525120735168457,10,4.0,0.0
False,,standard,poly,0.01,0.19066666666666668,0.008379870059984364,0.22,18.798890113830566,10,4.0,0.1
False,,standard,poly,0.01,0.20533333333333334,0.0033993463423951835,0.225,17.364309549331665,10,4.0,0.5
False,,standard,poly,0.01,0.21266666666666667,0.003399346342395193,0.2125,16.84134602546692,10,4.0,1.0
False,,standard,poly,0.01,0.18800000000000003,0.0043204937989385775,0.235,16.842921495437622,10,4.0,2.0
False,,standard,poly,0.01,0.19133333333333333,0.028581268146968025,0.2525,16.735892057418823,10,5.0,0.0
False,,standard,poly,0.01,0.18066666666666667,0.01481740718059525,0.23,17.1823251247406,10,5.0,0.1
False,,standard,poly,0.01,0.19066666666666668,0.010498677165349092,0.205,16.814481496810913,10,5.0,1.0
False,,standard,poly,0.01,0.21666666666666667,0.02604269997949948,0.215,17.753231525421143,10,5.0,0.5
False,,standard,poly,0.01,0.19266666666666668,0.01472714802291635,0.235,16.78487277030945,10,5.0,2.0
False,,standard,poly,0.1,0.15133333333333332,0.004988876515698593,0.2,18.50122594833374,scale,2.0,0.0
False,,standard,poly,0.1,0.204,0.008640987597877141,0.2375,17.75642490386963,scale,2.0,0.1
